Station ID,Station Name,Description,County,Route,From Milepoint,To Milepoint,Functional Class,Latitude,Longitude,AADT_2024,AAWDT_2024,Truck%_2024,AADT_2023,AAWDT_2023,Truck%_2023,AADT_2022,AAWDT_2022,Truck%_2022,AADT_2021,AAWDT_2021,Truck%_2021,AADT_2020,AAWDT_2020,Truck%_2020,AADT_2019,AAWDT_2019,Truck%_2019,AADT_2018,AAWDT_2018,Truck%_2018,AADT_2017,AAWDT_2017,Truck%_2017
"#000000056214","056214","COOPER AVE from 71st AVE to COOPER ST","Queens","",,,":Local",40.706970,-73.874750,,,,,,,,,,,,,,,,,,,,,,,,
"#010001000000","010001","I-95 from NY/Bronx Co Line to I-87 MAJ DEEGAN EXP UNDER","Bronx","ALEXANDER HAMIL",0,0.07,"Urban:Principal Arterial - Interstate",40.844940,-73.926880,80274,,,81581,,23.1,80940,,23.1,78163,,23.1,72768,,23.1,82083,,23.1,81839,89450,23.1,82128,,10.3
"#010002000000","010002","I-95 from I-87 MAJ DEEGAN EXP UNDER to MACOMBS RD OVER","Bronx","CROSS BRONX EXP",0.07,0.58,"Urban:Principal Arterial - Interstate",40.844933,-73.926210,91064,,,92547,,21.5,99911,,21.5,99848,,19.7,92956,107476,19.7,92788,,21.5,92512,101115,21.5,94218,,10.3
"#010003000000","0191","239 FT West of Jerome Ave","","",,,"LU:Principal Arterial - Interstate",40.845008,-73.915372,135679,,16.7,130727,,17.0,146965,140877,17.2,132246,,16.0,123118,,16.0,149790,,16.6,141149,,16.6,140677,,16.6
"#01000300000R","0199 (RETIRED)","I-95 from MACOMBS RD OVER to END I-95/US1 OLAP","Bronx","CROSS BRONX EXP",0.58,1.21,"Urban:Principal Arterial - Interstate",40.844841,-73.906159,,,,,,,147145,,17.2,132246,,16.0,123118,142349,16.0,149790,142242,16.6,141149,,16.6,140677,153197,19.3
"#010004000000","010004","WEBSTER AVE from END I-95/US1 OLAP","Bronx","WEBSTER AVE",1.21452,2.71,"Urban:Principal Arterial - Other",40.853662,-73.897180,14192,,,14940,,4.5,14366,,7.2,13252,,4.5,11806,,4.5,15127,,4.5,15198,16733,4.3,16969,,6.4
"#010005000000","010005","E FORDHAM RD to RT 907H BRONX RIVER PKWY SOUTH","Bronx","E FORDHAM RD",2.71,3.83,"Urban:Principal Arterial - Other",40.860660,-73.889670,30118,,,31707,,7.5,33737,,7.5,28125,,7.4,25056,,7.5,32103,,7.5,32254,33319,7.5,35153,,7.3
"#010006000000","010006","US1 from RT 907H BRONX RIVER PKWY SOU to PELHAM PKWY S","Bronx","E FORDHAM RD",3.83,3.99,"Urban:Principal Arterial - Other",40.856651,-73.870688,44284,,,46620,,3.8,42533,,3.9,41353,,3.8,36841,,3.8,47203,49752,3.8,46512,,7.2,46173,,7.3
"#010007000000","010007","US1 from PELHAM PKWY S to GUN HILL RD","Bronx","BOSTON RD",3.99,5.44,"Urban:Principal Arterial - Other",40.867175,-73.860203,13433,,,14142,,6.8,12197,,5.8,12545,,6.8,11176,,6.8,14319,,6.8,14365,,6.8,14306,,6.8
"#010008000000","010008","BOSTON RD from GUN HILL RD to RT 22 PROVOST AVE","Bronx","BOSTON RD",5.44,7.08,"Urban:Principal Arterial - Other",40.881808,-73.837368,26540,,,27940,,7.5,18096,,5.1,24783,,4.3,22079,,7.1,28289,31485,7.5,20582,,7.2,20432,,7.3
"#010009000000","0182","US1 from RT 22 PROVOST AVE to Bronx/West Co Line","Bronx","BOSTON RD",7.08,7.59,"Urban:Principal Arterial - Other",40.889390,-73.821064,20341,,,21414,,5.4,18906,,5.1,18996,,5.4,16923,,5.4,21682,21704,5.4,22101,21940,5.3,22184,,7.3
"#010009000000","010009","BOSTON RD, RT 22 PROVOST AVE - Bronx/West Co Line","","",,,"",40.886597,-73.826338,,,,,,,,,,,,,,,,,,,,,,,,
